Elementos: 358, work_group_size: 2, Grupos:179
Elementos: 359, work_group_size: 1, Grupos:359
Elementos: 360, work_group_size: 45, Grupos:8
Elementos: 361, work_group_size: 19, Grupos:19
Elementos: 362, work_group_size: 2, Grupos:181
Elementos: 363, work_group_size: 33, Grupos:11
Elementos: 364, work_group_size: 4, Grupos:91
Elementos: 365, work_group_size: 5, Grupos:73
Elementos: 366, work_group_size: 6, Grupos:61
Elementos: 367, work_group_size: 1, Grupos:367
Elementos: 368, work_group_size: 16, Grupos:23
Elementos: 369, work_group_size: 41, Grupos:9
Elementos: 370, work_group_size: 37, Grupos:10
Elementos: 371, work_group_size: 7, Grupos:53
Elementos: 372, work_group_size: 4, Grupos:93
Elementos: 373, work_group_size: 1, Grupos:373
Elementos: 374, work_group_size: 34, Grupos:11
Elementos: 375, work_group_size: 25, Grupos:15
Elementos: 376, work_group_size: 8, Grupos:47
Elementos: 377, work_group_size: 29, Grupos:13
Elementos: 378, work_group_size: 42, Grupos:9
Elementos: 379, work_group_size: 1, Grupos:379
Elementos: 380, work_group_size: 4, Grupos:95
Elementos: 381, work_group_size: 3, Grupos:127
Elementos: 382, work_group_size: 2, Grupos:191
Elementos: 383, work_group_size: 1, Grupos:383
Elementos: 384, work_group_size: 48, Grupos:8
Elementos: 385, work_group_size: 35, Grupos:11
Elementos: 386, work_group_size: 2, Grupos:193
Elementos: 387, work_group_size: 43, Grupos:9
Elementos: 388, work_group_size: 4, Grupos:97
Elementos: 389, work_group_size: 1, Grupos:389
Elementos: 390, work_group_size: 39, Grupos:10
Elementos: 391, work_group_size: 23, Grupos:17
Elementos: 392, work_group_size: 49, Grupos:8
Elementos: 393, work_group_size: 3, Grupos:131
Elementos: 394, work_group_size: 2, Grupos:197
Elementos: 395, work_group_size: 5, Grupos:79
Elementos: 396, work_group_size: 4, Grupos:99
Elementos: 397, work_group_size: 1, Grupos:397
Elementos: 398, work_group_size: 2, Grupos:199
Elementos: 399, work_group_size: 21, Grupos:19
Elementos: 400, work_group_size: 50, Grupos:8
Elementos: 401, work_group_size: 1, Grupos:401
Elementos: 402, work_group_size: 6, Grupos:67
Elementos: 403, work_group_size: 31, Grupos:13
Elementos: 404, work_group_size: 4, Grupos:101
Elementos: 405, work_group_size: 45, Grupos:9
Elementos: 406, work_group_size: 29, Grupos:14
Elementos: 407, work_group_size: 37, Grupos:11
Elementos: 408, work_group_size: 8, Grupos:51
Elementos: 409, work_group_size: 1, Grupos:409
Elementos: 410, work_group_size: 41, Grupos:10
Elementos: 411, work_group_size: 1, Grupos:411
Elementos: 412, work_group_size: 4, Grupos:103
Elementos: 413, work_group_size: 7, Grupos:59
Elementos: 414, work_group_size: 46, Grupos:9
Elementos: 415, work_group_size: 5, Grupos:83
Elementos: 416, work_group_size: 52, Grupos:8
Elementos: 417, work_group_size: 3, Grupos:139
Elementos: 418, work_group_size: 38, Grupos:11
Elementos: 419, work_group_size: 1, Grupos:419
Elementos: 420, work_group_size: 4, Grupos:105
